Movie,Director,Runningtime,Year,User-1,User-2,User-3,User-4,User-5,User-6,User-7,User-8,User-9,User-10,User-11,User-12,User-13,User-14,User-15,User-16,User-17,User-18,User-19,User-20
The Woman King,Gina Prince-Bythewood,135 min,2022,0,0,2,1,5,2,1,3,5,2,3,3,4,5,4,1,0,5,4,0
RRR,S.S. Rajamouli,187 min,2022,4,3,2,0,0,5,0,2,0,3,1,0,0,3,5,5,5,0,4,3
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,178 min,2001,0,0,3,0,1,1,3,1,4,1,0,5,1,2,0,3,3,3,2,3
The Covenant,Guy Ritchie,105min,2023,0,0,4,0,4,5,2,2,3,1,5,0,2,4,1,3,0,0,5,0
Thor: Love and Thunder,Taika Waititi,118 min,2022,1,5,2,1,3,0,3,2,1,3,5,4,0,5,0,4,3,2,3,3
Dungeons & Dragons: Honor Among Thieves,"John Francis Daley, 
Jonathan Goldstein",134 min,2023,0,2,0,1,0,4,4,5,5,3,3,5,1,1,0,4,0,5,2,3
The Locksmith,Nicolas Harvard,92 min,2023,0,5,1,2,5,0,4,4,0,0,0,2,5,0,5,5,2,0,1,4
The Dark Knight,Christopher Nolan,152 min,2008,5,4,2,3,5,0,1,1,3,2,2,0,1,0,2,4,1,2,5,0
Inception,Christopher Nolan,148 min,2010,5,4,5,3,2,4,1,2,1,4,3,4,1,5,1,5,3,0,3,3
Spider-Man: No Way Home,Jon Watts,148 min,2021,3,0,2,5,5,4,5,1,3,1,2,0,3,3,0,3,1,5,3,3
Indiana Jones and the Dial of Destiny,James Mangold,100min,2023,1,5,4,0,5,4,1,4,2,2,2,1,1,5,4,0,4,4,1,4
John Wick: Chapter 4,Chad Stahelski,169 min,2023,0,3,3,0,1,2,2,1,0,1,0,4,2,3,4,3,3,1,4,4
Gladiator,Ridley Scott,155 min,2000,5,2,4,5,1,0,5,4,2,1,5,3,0,1,4,0,2,2,4,0
Avengers: Endgame,"Anthony Russo, 
Joe Russo",181 min,2019,0,0,0,3,3,1,1,0,5,5,5,5,5,1,2,0,0,5,4,5
Legion of Super-Heroes,Jeff Wamester,83 min,2023,1,1,5,0,4,4,3,4,1,3,1,3,1,3,0,4,2,5,3,2
Oblivion,"Scott Beck, 
Bryan Woods",125min,2023,2,4,0,5,5,1,3,5,5,5,4,5,0,3,3,2,4,0,0,3
Little Dixie,John Swab,105 min,2023,2,2,5,0,3,0,3,4,3,3,1,2,2,0,4,3,1,0,3,1
An Action Hero,Anirudh Iyer,130 min,2022,4,3,1,1,4,2,5,5,5,3,2,1,2,1,0,3,5,2,2,5
Strange World,"Don Hall, 
Qui Nguyen",102 min,2022,5,1,3,5,2,2,1,5,4,2,2,0,3,4,3,4,1,5,0,4
John Wick,"Chad Stahelski, 
David Leitch",101 min,2014,4,0,5,3,3,3,4,1,1,1,5,1,1,1,4,0,4,4,1,0
The Gentlemen,Guy Ritchie,113 min,2019,3,3,0,2,5,4,4,1,3,5,5,4,2,4,5,0,2,5,3,5
Blade Runner 2049,Denis Villeneuve,114 min,2017,5,0,1,3,5,3,1,5,5,4,4,3,5,1,5,2,3,3,5,0
F9: The Fast Saga,Justin Lin,115 min,2021,4,2,0,3,5,3,0,5,2,0,4,3,5,0,0,5,2,4,2,1
Violent Night,Tommy Wirkola,116 min,2022,1,3,0,0,5,2,1,1,0,2,1,5,3,3,0,4,3,4,0,0
Last Seen Alive,Brian Goodman,117 min,2022,1,5,4,3,4,2,3,4,2,1,4,3,5,2,5,3,5,1,4,2
Nobody,Ilya Naishuller,118 min,2021,4,2,3,4,4,0,1,5,1,1,5,3,3,5,3,5,5,5,4,1
The Matrix,"Lana Wachowski, 
Lilly Wachowski",119 min,1999,2,0,0,2,0,2,2,0,4,1,5,1,1,5,1,2,2,1,2,3
The Gray Man,"Anthony Russo, 
Joe Russo",120 min,2022,4,2,0,0,0,2,5,5,1,0,1,2,3,1,2,4,5,0,4,4
Guardians of the Galaxy Vol. 3,James Gunn,121 min,2023,3,5,5,0,0,4,1,5,2,1,5,5,3,5,1,2,0,2,0,5
Raiders of the Lost Ark,Steven Spielberg,122 min,1981,2,0,3,2,5,3,4,0,5,3,4,2,1,2,3,1,3,4,1,3
Independence Day,Roland Emmerich,123 min,1996,0,2,5,2,4,2,2,0,5,1,3,0,3,2,1,3,2,4,4,2
Scott Pilgrim vs. the World,Edgar Wright,124 min,2010,4,0,3,2,4,2,1,5,0,1,4,1,3,0,4,4,2,3,3,0
The Fast and the Furious,Rob Cohen,125 min,2001,4,4,3,0,3,4,5,3,0,5,0,1,3,3,2,5,5,5,1,1
The Expendables 4,Scott Waugh,126 min,2023,2,4,3,3,5,0,0,5,1,3,3,5,0,3,2,0,2,5,0,4
Barb Wire,David Hogan,127 min,1996,0,5,4,2,5,1,2,1,1,4,5,4,0,5,2,0,4,5,5,2
No Time to Die,Cary Joji Fukunaga,128 min,2021,5,4,5,5,5,4,4,4,3,5,2,5,0,2,4,2,4,2,5,3
Uncharted,Ruben Fleischer,129 min,2022,0,5,3,4,3,2,3,1,0,1,2,2,2,2,3,3,3,2,5,4
Tenet,Christopher Nolan,130 min,2020,2,2,0,2,4,4,3,1,0,0,5,1,3,5,2,5,0,1,5,4
Shazam! Fury of the Gods,David F. Sandberg,131 min,2023,2,3,1,0,4,5,4,3,4,5,3,3,3,5,4,4,3,0,4,2
Heat,Michael Mann,132 min,1995,4,1,4,1,3,4,0,4,4,0,5,1,2,5,2,1,1,0,1,4
The Suicide Squad,James Gunn,133 min,2021,1,1,3,3,2,4,3,4,2,3,4,4,1,3,5,3,2,2,4,3
The Mummy,Stephen Sommers,134 min,1999,2,5,1,5,4,1,4,0,4,2,0,3,3,0,5,4,5,0,2,5
Dunkirk,Christopher Nolan,135 min,2017,0,4,3,5,3,3,4,3,3,0,2,1,1,5,1,4,3,2,4,1
Jurassic Park,Steven Spielberg,136 min,1993,1,3,0,2,4,1,3,3,3,0,1,1,4,3,3,0,4,1,0,4
Kingsman: The Golden Circle,Matthew Vaughn,137 min,2017,0,3,3,2,0,2,1,5,5,5,3,0,3,4,3,1,2,2,0,4
Willow,Ron Howard,138 min,1988,3,0,4,2,1,1,4,5,1,5,5,3,4,0,1,0,2,5,2,2
Ant-Man,Peyton Reed,139 min,2015,5,1,4,5,0,2,2,5,0,2,0,2,3,0,4,5,0,2,4,3
Edge of Tomorrow,Doug Liman,140 min,2014,5,0,1,5,0,2,2,5,1,1,0,5,2,3,1,5,2,3,5,1
The Lord of the Rings: The Return of the King,Peter Jackson,141 min,2003,4,2,5,3,3,0,1,1,1,3,3,2,5,0,1,1,1,3,3,4
The Lost City,"Aaron Nee, 
Adam Nee",142 min,2022,3,2,5,1,0,4,3,0,4,3,0,3,5,2,5,1,3,1,1,2
Dune: Part Two,Denis Villeneuve,146 min,2023,5,3,5,4,5,2,2,0,2,5,2,2,5,0,4,1,1,0,3,1
The Hunger Games: Catching Fire,Francis Lawrence,147 min,2013,2,4,0,3,0,0,4,5,5,1,2,0,1,2,0,5,0,2,5,4
Infinite,Antoine Fuqua,148 min,2021,3,5,2,0,4,2,5,4,2,1,2,4,0,0,2,1,5,0,2,5
